cluster_rep,cluster_member,memberContig,repContig,orfN
16469_LNBYT5954Z_2,16469_LNBYT5954Z_2,16469_LNBYT5954Z,16469_LNBYT5954Z,2
16469_LNBYT5954Z_3,16469_LNBYT5954Z_3,16469_LNBYT5954Z,16469_LNBYT5954Z,3
16512_LNBYT5954Z_1,16512_LNBYT5954Z_1,16512_LNBYT5954Z,16512_LNBYT5954Z,1
16512_LNBYT5954Z_2,16512_LNBYT5954Z_2,16512_LNBYT5954Z,16512_LNBYT5954Z,2
16627_LNBYT5954Z_1,16627_LNBYT5954Z_1,16627_LNBYT5954Z,16627_LNBYT5954Z,1
16627_LNBYT5954Z_2,16627_LNBYT5954Z_2,16627_LNBYT5954Z,16627_LNBYT5954Z,2
16627_LNBYT5954Z_3,16627_LNBYT5954Z_3,16627_LNBYT5954Z,16627_LNBYT5954Z,3
16627_LNBYT5954Z_4,16627_LNBYT5954Z_4,16627_LNBYT5954Z,16627_LNBYT5954Z,4
16627_LNBYT5954Z_5,16627_LNBYT5954Z_5,16627_LNBYT5954Z,16627_LNBYT5954Z,5
16703_LNBYT5954Z_1,16703_LNBYT5954Z_1,16703_LNBYT5954Z,16703_LNBYT5954Z,1
16703_LNBYT5954Z_2,16703_LNBYT5954Z_2,16703_LNBYT5954Z,16703_LNBYT5954Z,2
16703_LNBYT5954Z_3,16703_LNBYT5954Z_3,16703_LNBYT5954Z,16703_LNBYT5954Z,3
16703_LNBYT5954Z_4,16703_LNBYT5954Z_4,16703_LNBYT5954Z,16703_LNBYT5954Z,4
16703_LNBYT5954Z_5,16703_LNBYT5954Z_5,16703_LNBYT5954Z,16703_LNBYT5954Z,5
16811_LNBYT5954Z_1,16811_LNBYT5954Z_1,16811_LNBYT5954Z,16811_LNBYT5954Z,1
16811_LNBYT5954Z_2,16811_LNBYT5954Z_2,16811_LNBYT5954Z,16811_LNBYT5954Z,2
16811_LNBYT5954Z_3,16811_LNBYT5954Z_3,16811_LNBYT5954Z,16811_LNBYT5954Z,3
16812_LNBYT5954Z_1,16812_LNBYT5954Z_1,16812_LNBYT5954Z,16812_LNBYT5954Z,1
16812_LNBYT5954Z_2,16812_LNBYT5954Z_2,16812_LNBYT5954Z,16812_LNBYT5954Z,2
16812_LNBYT5954Z_3,16812_LNBYT5954Z_3,16812_LNBYT5954Z,16812_LNBYT5954Z,3
16969_LNBYT5954Z_1,16969_LNBYT5954Z_1,16969_LNBYT5954Z,16969_LNBYT5954Z,1
16969_LNBYT5954Z_2,16969_LNBYT5954Z_2,16969_LNBYT5954Z,16969_LNBYT5954Z,2
16969_LNBYT5954Z_3,16969_LNBYT5954Z_3,16969_LNBYT5954Z,16969_LNBYT5954Z,3
17048_LNBYT5954Z_1,17048_LNBYT5954Z_1,17048_LNBYT5954Z,17048_LNBYT5954Z,1
17048_LNBYT5954Z_2,17048_LNBYT5954Z_2,17048_LNBYT5954Z,17048_LNBYT5954Z,2
17048_LNBYT5954Z_3,17048_LNBYT5954Z_3,17048_LNBYT5954Z,17048_LNBYT5954Z,3
17048_LNBYT5954Z_4,17048_LNBYT5954Z_4,17048_LNBYT5954Z,17048_LNBYT5954Z,4
17426_LNBYT5954Z_1,17426_LNBYT5954Z_1,17426_LNBYT5954Z,17426_LNBYT5954Z,1
17426_LNBYT5954Z_2,17426_LNBYT5954Z_2,17426_LNBYT5954Z,17426_LNBYT5954Z,2
17426_LNBYT5954Z_3,17426_LNBYT5954Z_3,17426_LNBYT5954Z,17426_LNBYT5954Z,3
17659_LNBYT5954Z_1,17659_LNBYT5954Z_1,17659_LNBYT5954Z,17659_LNBYT5954Z,1
17659_LNBYT5954Z_2,17659_LNBYT5954Z_2,17659_LNBYT5954Z,17659_LNBYT5954Z,2
17659_LNBYT5954Z_3,17659_LNBYT5954Z_3,17659_LNBYT5954Z,17659_LNBYT5954Z,3
17659_LNBYT5954Z_4,17659_LNBYT5954Z_4,17659_LNBYT5954Z,17659_LNBYT5954Z,4
18019_LNBYT5954Z_1,18019_LNBYT5954Z_1,18019_LNBYT5954Z,18019_LNBYT5954Z,1
18109_LNBYT5954Z_1,18109_LNBYT5954Z_1,18109_LNBYT5954Z,18109_LNBYT5954Z,1
18109_LNBYT5954Z_2,18109_LNBYT5954Z_2,18109_LNBYT5954Z,18109_LNBYT5954Z,2
18109_LNBYT5954Z_3,18109_LNBYT5954Z_3,18109_LNBYT5954Z,18109_LNBYT5954Z,3
18109_LNBYT5954Z_4,18109_LNBYT5954Z_4,18109_LNBYT5954Z,18109_LNBYT5954Z,4
18109_LNBYT5954Z_5,18109_LNBYT5954Z_5,18109_LNBYT5954Z,18109_LNBYT5954Z,5
55286_LNBYT5954Z_1,55286_LNBYT5954Z_1,55286_LNBYT5954Z,55286_LNBYT5954Z,1
55286_LNBYT5954Z_2,55286_LNBYT5954Z_2,55286_LNBYT5954Z,55286_LNBYT5954Z,2
55286_LNBYT5954Z_3,55286_LNBYT5954Z_3,55286_LNBYT5954Z,55286_LNBYT5954Z,3
55406_LNBYT5954Z_1,55406_LNBYT5954Z_1,55406_LNBYT5954Z,55406_LNBYT5954Z,1
55514_LNBYT5954Z_1,55514_LNBYT5954Z_1,55514_LNBYT5954Z,55514_LNBYT5954Z,1
55514_LNBYT5954Z_2,55514_LNBYT5954Z_2,55514_LNBYT5954Z,55514_LNBYT5954Z,2
55658_LNBYT5954Z_1,55658_LNBYT5954Z_1,55658_LNBYT5954Z,55658_LNBYT5954Z,1
55812_LNBYT5954Z_1,55812_LNBYT5954Z_1,55812_LNBYT5954Z,55812_LNBYT5954Z,1
55812_LNBYT5954Z_2,55812_LNBYT5954Z_2,55812_LNBYT5954Z,55812_LNBYT5954Z,2
55812_LNBYT5954Z_3,55812_LNBYT5954Z_3,55812_LNBYT5954Z,55812_LNBYT5954Z,3
55821_LNBYT5954Z_1,55821_LNBYT5954Z_1,55821_LNBYT5954Z,55821_LNBYT5954Z,1
55891_LNBYT5954Z_1,55891_LNBYT5954Z_1,55891_LNBYT5954Z,55891_LNBYT5954Z,1
55891_LNBYT5954Z_2,55891_LNBYT5954Z_2,55891_LNBYT5954Z,55891_LNBYT5954Z,2
56368_LNBYT5954Z_1,56368_LNBYT5954Z_1,56368_LNBYT5954Z,56368_LNBYT5954Z,1
56381_LNBYT5954Z_1,56381_LNBYT5954Z_1,56381_LNBYT5954Z,56381_LNBYT5954Z,1
56647_LNBYT5954Z_1,56647_LNBYT5954Z_1,56647_LNBYT5954Z,56647_LNBYT5954Z,1
56649_LNBYT5954Z_1,56649_LNBYT5954Z_1,56649_LNBYT5954Z,56649_LNBYT5954Z,1
56649_LNBYT5954Z_2,56649_LNBYT5954Z_2,56649_LNBYT5954Z,56649_LNBYT5954Z,2
57282_LNBYT5954Z_1,57282_LNBYT5954Z_1,57282_LNBYT5954Z,57282_LNBYT5954Z,1
57384_LNBYT5954Z_1,57384_LNBYT5954Z_1,57384_LNBYT5954Z,57384_LNBYT5954Z,1
57384_LNBYT5954Z_2,57384_LNBYT5954Z_2,57384_LNBYT5954Z,57384_LNBYT5954Z,2
57384_LNBYT5954Z_3,57384_LNBYT5954Z_3,57384_LNBYT5954Z,57384_LNBYT5954Z,3
57670_LNBYT5954Z_1,57670_LNBYT5954Z_1,57670_LNBYT5954Z,57670_LNBYT5954Z,1
57670_LNBYT5954Z_2,57670_LNBYT5954Z_2,57670_LNBYT5954Z,57670_LNBYT5954Z,2
57670_LNBYT5954Z_3,57670_LNBYT5954Z_3,57670_LNBYT5954Z,57670_LNBYT5954Z,3
58350_LNBYT5954Z_1,58350_LNBYT5954Z_1,58350_LNBYT5954Z,58350_LNBYT5954Z,1
58910_LNBYT5954Z_1,58910_LNBYT5954Z_1,58910_LNBYT5954Z,58910_LNBYT5954Z,1
58910_LNBYT5954Z_2,58910_LNBYT5954Z_2,58910_LNBYT5954Z,58910_LNBYT5954Z,2
58910_LNBYT5954Z_3,58910_LNBYT5954Z_3,58910_LNBYT5954Z,58910_LNBYT5954Z,3
58993_LNBYT5954Z_1,58993_LNBYT5954Z_1,58993_LNBYT5954Z,58993_LNBYT5954Z,1
59075_LNBYT5954Z_2,59075_LNBYT5954Z_2,59075_LNBYT5954Z,59075_LNBYT5954Z,2
59303_LNBYT5954Z_1,59303_LNBYT5954Z_1,59303_LNBYT5954Z,59303_LNBYT5954Z,1
59303_LNBYT5954Z_2,59303_LNBYT5954Z_2,59303_LNBYT5954Z,59303_LNBYT5954Z,2
59404_LNBYT5954Z_1,59404_LNBYT5954Z_1,59404_LNBYT5954Z,59404_LNBYT5954Z,1
59404_LNBYT5954Z_2,59404_LNBYT5954Z_2,59404_LNBYT5954Z,59404_LNBYT5954Z,2
90993_LNBYT5954Z_1,90993_LNBYT5954Z_1,90993_LNBYT5954Z,90993_LNBYT5954Z,1
91230_LNBYT5954Z_1,91230_LNBYT5954Z_1,91230_LNBYT5954Z,91230_LNBYT5954Z,1
91230_LNBYT5954Z_2,91230_LNBYT5954Z_2,91230_LNBYT5954Z,91230_LNBYT5954Z,2
91230_LNBYT5954Z_3,91230_LNBYT5954Z_3,91230_LNBYT5954Z,91230_LNBYT5954Z,3
91343_LNBYT5954Z_1,91343_LNBYT5954Z_1,91343_LNBYT5954Z,91343_LNBYT5954Z,1
91393_LNBYT5954Z_1,91393_LNBYT5954Z_1,91393_LNBYT5954Z,91393_LNBYT5954Z,1
91510_LNBYT5954Z_1,91510_LNBYT5954Z_1,91510_LNBYT5954Z,91510_LNBYT5954Z,1
92299_LNBYT5954Z_1,92299_LNBYT5954Z_1,92299_LNBYT5954Z,92299_LNBYT5954Z,1
93445_LNBYT5954Z_1,93445_LNBYT5954Z_1,93445_LNBYT5954Z,93445_LNBYT5954Z,1
93592_LNBYT5954Z_1,93592_LNBYT5954Z_1,93592_LNBYT5954Z,93592_LNBYT5954Z,1
93592_LNBYT5954Z_2,93592_LNBYT5954Z_2,93592_LNBYT5954Z,93592_LNBYT5954Z,2
93887_LNBYT5954Z_1,93887_LNBYT5954Z_1,93887_LNBYT5954Z,93887_LNBYT5954Z,1
93887_LNBYT5954Z_2,93887_LNBYT5954Z_2,93887_LNBYT5954Z,93887_LNBYT5954Z,2
94124_LNBYT5954Z_1,94124_LNBYT5954Z_1,94124_LNBYT5954Z,94124_LNBYT5954Z,1
94124_LNBYT5954Z_2,94124_LNBYT5954Z_2,94124_LNBYT5954Z,94124_LNBYT5954Z,2
94124_LNBYT5954Z_3,94124_LNBYT5954Z_3,94124_LNBYT5954Z,94124_LNBYT5954Z,3
94138_LNBYT5954Z_1,94138_LNBYT5954Z_1,94138_LNBYT5954Z,94138_LNBYT5954Z,1
94138_LNBYT5954Z_2,94138_LNBYT5954Z_2,94138_LNBYT5954Z,94138_LNBYT5954Z,2
94267_LNBYT5954Z_1,94267_LNBYT5954Z_1,94267_LNBYT5954Z,94267_LNBYT5954Z,1
94340_LNBYT5954Z_1,94340_LNBYT5954Z_1,94340_LNBYT5954Z,94340_LNBYT5954Z,1
94340_LNBYT5954Z_2,94340_LNBYT5954Z_2,94340_LNBYT5954Z,94340_LNBYT5954Z,2
95046_LNBYT5954Z_1,95046_LNBYT5954Z_1,95046_LNBYT5954Z,95046_LNBYT5954Z,1
95323_LNBYT5954Z_1,95323_LNBYT5954Z_1,95323_LNBYT5954Z,95323_LNBYT5954Z,1
95323_LNBYT5954Z_2,95323_LNBYT5954Z_2,95323_LNBYT5954Z,95323_LNBYT5954Z,2
95613_LNBYT5954Z_1,95613_LNBYT5954Z_1,95613_LNBYT5954Z,95613_LNBYT5954Z,1
95847_LNBYT5954Z_1,95847_LNBYT5954Z_1,95847_LNBYT5954Z,95847_LNBYT5954Z,1
96157_LNBYT5954Z_1,96157_LNBYT5954Z_1,96157_LNBYT5954Z,96157_LNBYT5954Z,1
96295_LNBYT5954Z_1,96295_LNBYT5954Z_1,96295_LNBYT5954Z,96295_LNBYT5954Z,1
96295_LNBYT5954Z_2,96295_LNBYT5954Z_2,96295_LNBYT5954Z,96295_LNBYT5954Z,2
97414_LNBYT5954Z_1,97414_LNBYT5954Z_1,97414_LNBYT5954Z,97414_LNBYT5954Z,1
97912_LNBYT5954Z_1,97912_LNBYT5954Z_1,97912_LNBYT5954Z,97912_LNBYT5954Z,1
97912_LNBYT5954Z_2,97912_LNBYT5954Z_2,97912_LNBYT5954Z,97912_LNBYT5954Z,2
97957_LNBYT5954Z_1,97957_LNBYT5954Z_1,97957_LNBYT5954Z,97957_LNBYT5954Z,1
98125_LNBYT5954Z_1,98125_LNBYT5954Z_1,98125_LNBYT5954Z,98125_LNBYT5954Z,1
98125_LNBYT5954Z_2,98125_LNBYT5954Z_2,98125_LNBYT5954Z,98125_LNBYT5954Z,2
98178_LNBYT5954Z_1,98178_LNBYT5954Z_1,98178_LNBYT5954Z,98178_LNBYT5954Z,1
98178_LNBYT5954Z_2,98178_LNBYT5954Z_2,98178_LNBYT5954Z,98178_LNBYT5954Z,2
98620_LNBYT5954Z_1,98620_LNBYT5954Z_1,98620_LNBYT5954Z,98620_LNBYT5954Z,1
98620_LNBYT5954Z_2,98620_LNBYT5954Z_2,98620_LNBYT5954Z,98620_LNBYT5954Z,2
98761_LNBYT5954Z_1,98761_LNBYT5954Z_1,98761_LNBYT5954Z,98761_LNBYT5954Z,1
98826_LNBYT5954Z_1,98826_LNBYT5954Z_1,98826_LNBYT5954Z,98826_LNBYT5954Z,1
98826_LNBYT5954Z_2,98826_LNBYT5954Z_2,98826_LNBYT5954Z,98826_LNBYT5954Z,2
99742_LNBYT5954Z_1,99742_LNBYT5954Z_1,99742_LNBYT5954Z,99742_LNBYT5954Z,1
99742_LNBYT5954Z_2,99742_LNBYT5954Z_2,99742_LNBYT5954Z,99742_LNBYT5954Z,2
100001_LNBYT5954Z_1,100001_LNBYT5954Z_1,100001_LNBYT5954Z,100001_LNBYT5954Z,1
100001_LNBYT5954Z_2,100001_LNBYT5954Z_2,100001_LNBYT5954Z,100001_LNBYT5954Z,2
100110_LNBYT5954Z_1,100110_LNBYT5954Z_1,100110_LNBYT5954Z,100110_LNBYT5954Z,1
100110_LNBYT5954Z_2,100110_LNBYT5954Z_2,100110_LNBYT5954Z,100110_LNBYT5954Z,2
100181_LNBYT5954Z_1,100181_LNBYT5954Z_1,100181_LNBYT5954Z,100181_LNBYT5954Z,1
100429_LNBYT5954Z_1,100429_LNBYT5954Z_1,100429_LNBYT5954Z,100429_LNBYT5954Z,1
100970_LNBYT5954Z_1,100970_LNBYT5954Z_1,100970_LNBYT5954Z,100970_LNBYT5954Z,1
100970_LNBYT5954Z_2,100970_LNBYT5954Z_2,100970_LNBYT5954Z,100970_LNBYT5954Z,2
100970_LNBYT5954Z_3,100970_LNBYT5954Z_3,100970_LNBYT5954Z,100970_LNBYT5954Z,3
100978_LNBYT5954Z_1,100978_LNBYT5954Z_1,100978_LNBYT5954Z,100978_LNBYT5954Z,1
100978_LNBYT5954Z_2,100978_LNBYT5954Z_2,100978_LNBYT5954Z,100978_LNBYT5954Z,2
101250_LNBYT5954Z_1,101250_LNBYT5954Z_1,101250_LNBYT5954Z,101250_LNBYT5954Z,1
101250_LNBYT5954Z_2,101250_LNBYT5954Z_2,101250_LNBYT5954Z,101250_LNBYT5954Z,2
101410_LNBYT5954Z_1,101410_LNBYT5954Z_1,101410_LNBYT5954Z,101410_LNBYT5954Z,1
101422_LNBYT5954Z_1,101422_LNBYT5954Z_1,101422_LNBYT5954Z,101422_LNBYT5954Z,1
101422_LNBYT5954Z_1,37025_LNBYT5954Z_2,37025_LNBYT5954Z,101422_LNBYT5954Z,2
101422_LNBYT5954Z_2,101422_LNBYT5954Z_2,101422_LNBYT5954Z,101422_LNBYT5954Z,2
101422_LNBYT5954Z_3,101422_LNBYT5954Z_3,101422_LNBYT5954Z,101422_LNBYT5954Z,3
101735_LNBYT5954Z_1,101735_LNBYT5954Z_1,101735_LNBYT5954Z,101735_LNBYT5954Z,1
101735_LNBYT5954Z_1,32354_LNBYT5954Z_3,32354_LNBYT5954Z,101735_LNBYT5954Z,3
101970_LNBYT5954Z_1,101970_LNBYT5954Z_1,101970_LNBYT5954Z,101970_LNBYT5954Z,1
37025_LNBYT5954Z_1,37025_LNBYT5954Z_1,37025_LNBYT5954Z,37025_LNBYT5954Z,1
37202_LNBYT5954Z_2,37202_LNBYT5954Z_2,37202_LNBYT5954Z,37202_LNBYT5954Z,2
37536_LNBYT5954Z_1,37536_LNBYT5954Z_1,37536_LNBYT5954Z,37536_LNBYT5954Z,1
37536_LNBYT5954Z_2,37536_LNBYT5954Z_2,37536_LNBYT5954Z,37536_LNBYT5954Z,2
37536_LNBYT5954Z_3,37536_LNBYT5954Z_3,37536_LNBYT5954Z,37536_LNBYT5954Z,3
37656_LNBYT5954Z_1,37656_LNBYT5954Z_1,37656_LNBYT5954Z,37656_LNBYT5954Z,1
37656_LNBYT5954Z_2,37656_LNBYT5954Z_2,37656_LNBYT5954Z,37656_LNBYT5954Z,2
38107_LNBYT5954Z_1,38107_LNBYT5954Z_1,38107_LNBYT5954Z,38107_LNBYT5954Z,1
38107_LNBYT5954Z_2,38107_LNBYT5954Z_2,38107_LNBYT5954Z,38107_LNBYT5954Z,2
38213_LNBYT5954Z_1,38213_LNBYT5954Z_1,38213_LNBYT5954Z,38213_LNBYT5954Z,1
38500_LNBYT5954Z_1,38500_LNBYT5954Z_1,38500_LNBYT5954Z,38500_LNBYT5954Z,1
38500_LNBYT5954Z_2,38500_LNBYT5954Z_2,38500_LNBYT5954Z,38500_LNBYT5954Z,2
38777_LNBYT5954Z_1,38777_LNBYT5954Z_1,38777_LNBYT5954Z,38777_LNBYT5954Z,1
38777_LNBYT5954Z_2,38777_LNBYT5954Z_2,38777_LNBYT5954Z,38777_LNBYT5954Z,2
40_LNBYT5954Z_1,40_LNBYT5954Z_1,40_LNBYT5954Z,40_LNBYT5954Z,1
40_LNBYT5954Z_2,40_LNBYT5954Z_2,40_LNBYT5954Z,40_LNBYT5954Z,2
40_LNBYT5954Z_3,40_LNBYT5954Z_3,40_LNBYT5954Z,40_LNBYT5954Z,3
40_LNBYT5954Z_4,40_LNBYT5954Z_4,40_LNBYT5954Z,40_LNBYT5954Z,4
40_LNBYT5954Z_5,40_LNBYT5954Z_5,40_LNBYT5954Z,40_LNBYT5954Z,5
40_LNBYT5954Z_6,40_LNBYT5954Z_6,40_LNBYT5954Z,40_LNBYT5954Z,6
40_LNBYT5954Z_7,40_LNBYT5954Z_7,40_LNBYT5954Z,40_LNBYT5954Z,7
40_LNBYT5954Z_8,40_LNBYT5954Z_8,40_LNBYT5954Z,40_LNBYT5954Z,8
40_LNBYT5954Z_9,40_LNBYT5954Z_9,40_LNBYT5954Z,40_LNBYT5954Z,9
40_LNBYT5954Z_10,40_LNBYT5954Z_10,40_LNBYT5954Z,40_LNBYT5954Z,10
40_LNBYT5954Z_11,40_LNBYT5954Z_11,40_LNBYT5954Z,40_LNBYT5954Z,11
40_LNBYT5954Z_12,40_LNBYT5954Z_12,40_LNBYT5954Z,40_LNBYT5954Z,12
40_LNBYT5954Z_13,40_LNBYT5954Z_13,40_LNBYT5954Z,40_LNBYT5954Z,13
40_LNBYT5954Z_14,40_LNBYT5954Z_14,40_LNBYT5954Z,40_LNBYT5954Z,14
40_LNBYT5954Z_15,40_LNBYT5954Z_15,40_LNBYT5954Z,40_LNBYT5954Z,15
40_LNBYT5954Z_16,40_LNBYT5954Z_16,40_LNBYT5954Z,40_LNBYT5954Z,16
40_LNBYT5954Z_17,40_LNBYT5954Z_17,40_LNBYT5954Z,40_LNBYT5954Z,17
40_LNBYT5954Z_18,40_LNBYT5954Z_18,40_LNBYT5954Z,40_LNBYT5954Z,18
40_LNBYT5954Z_19,40_LNBYT5954Z_19,40_LNBYT5954Z,40_LNBYT5954Z,19
40_LNBYT5954Z_20,40_LNBYT5954Z_20,40_LNBYT5954Z,40_LNBYT5954Z,20
40_LNBYT5954Z_21,40_LNBYT5954Z_21,40_LNBYT5954Z,40_LNBYT5954Z,21
40_LNBYT5954Z_22,40_LNBYT5954Z_22,40_LNBYT5954Z,40_LNBYT5954Z,22
40_LNBYT5954Z_23,40_LNBYT5954Z_23,40_LNBYT5954Z,40_LNBYT5954Z,23
40_LNBYT5954Z_24,40_LNBYT5954Z_24,40_LNBYT5954Z,40_LNBYT5954Z,24
40_LNBYT5954Z_25,40_LNBYT5954Z_25,40_LNBYT5954Z,40_LNBYT5954Z,25
40_LNBYT5954Z_26,40_LNBYT5954Z_26,40_LNBYT5954Z,40_LNBYT5954Z,26
40_LNBYT5954Z_27,40_LNBYT5954Z_27,40_LNBYT5954Z,40_LNBYT5954Z,27
40_LNBYT5954Z_28,40_LNBYT5954Z_28,40_LNBYT5954Z,40_LNBYT5954Z,28
